emoji,name,cos_sim_cad,cos_sim_prompt
👁️‍🗨️,eye_in_speech_bubble,0.036182,-0.013398
👩🏻‍❤️‍💋‍👩🏻,kiss_woman_woman_light_skin_tone,0.036163,0.085553
☝,index_pointing_up,0.036134,-0.107376
⛹🏼,person_bouncing_ball_medium-light_skin_tone,0.036097,-0.019356
🏇🏾,horse_racing_medium-dark_skin_tone,0.036072,-0.039030
🧘🏼‍♂️,man_in_lotus_position_medium-light_skin_tone,0.035995,0.220824
🧖🏾,person_in_steamy_room_medium-dark_skin_tone,0.035884,-0.064594
👩🏼‍🚀,woman_astronaut_medium-light_skin_tone,0.035791,0.194098
🧛🏼‍♂️,man_vampire_medium-light_skin_tone,0.035753,0.177715
🤧,sneezing_face,0.035714,-0.031514
🦸🏼‍♂,man_superhero_medium-light_skin_tone,0.035698,0.153959
🎖,military_medal,0.035595,-0.010089
🪉,harp,0.035553,-0.022032
👨🏻‍❤‍💋‍👨🏻,kiss_man_man_light_skin_tone,0.035443,0.089504
💵,dollar_banknote,0.035403,-0.000109
🙆,person_gesturing_OK,0.035394,-0.057849
💁🏼‍♀,woman_tipping_hand_medium-light_skin_tone,0.035367,-0.005917
🪤,mouse_trap,0.035362,-0.002183
👩🏻‍❤️‍💋‍👩🏼,kiss_woman_woman_light_skin_tone_medium-light_skin_tone,0.035361,0.091618
🪯,khanda,0.035352,-0.028695
🧛🏽‍♂️,man_vampire_medium_skin_tone,0.035305,0.177872
🇦🇹,Austria,0.035286,0.163853
🥷🏾,ninja_medium-dark_skin_tone,0.035234,-0.075639
🌥,sun_behind_large_cloud,0.035217,0.092966
🏄‍♂️,man_surfing,0.035120,0.176054
🧙🏽‍♀,woman_mage_medium_skin_tone,0.035089,0.198620
🤴🏽,prince_medium_skin_tone,0.035061,-0.076606
🏋🏻‍♂,man_lifting_weights_light_skin_tone,0.035027,0.179846
🧏🏻‍♀️,deaf_woman_light_skin_tone,0.035017,0.210090
🧑🏻‍✈️,pilot_light_skin_tone,0.034989,0.207248
💁🏻‍♂,man_tipping_hand_light_skin_tone,0.034981,-0.031120
🚣‍♂️,man_rowing_boat,0.034934,0.148946
😂,face_with_tears_of_joy,0.034827,0.064059
🧜🏼‍♂,merman_medium-light_skin_tone,0.034826,0.193618
🛟,ring_buoy,0.034818,-0.062441
🙇🏻‍♂️,man_bowing_light_skin_tone,0.034749,0.064744
🩶,grey_heart,0.034694,-0.083561
🤣,rolling_on_the_floor_laughing,0.034586,0.097722
🏝️,desert_island,0.034553,0.043923
🏄🏽‍♂️,man_surfing_medium_skin_tone,0.034528,0.184279
🧘🏽‍♂️,man_in_lotus_position_medium_skin_tone,0.034502,0.211249
🧗🏻‍♂️,man_climbing_light_skin_tone,0.034476,0.174373
🫱🏾,rightwards_hand_medium-dark_skin_tone,0.034369,-0.003876
🧛‍♂️,man_vampire,0.034279,0.146582
🛐,place_of_worship,0.034246,-0.088045
🕵,detective,0.034232,-0.046703
🛄,baggage_claim,0.034191,-0.064977
👩🏻‍🚀,woman_astronaut_light_skin_tone,0.034161,0.187676
🙆🏼,person_gesturing_OK_medium-light_skin_tone,0.034084,0.042028
👨‍❤️‍💋‍👨,kiss_man_man,0.034014,0.057447
🧛🏽‍♀️,woman_vampire_medium_skin_tone,0.034008,0.169356
♨,hot_springs,0.034002,-0.084956
💁🏽‍♂,man_tipping_hand_medium_skin_tone,0.033980,-0.004661
👇🏾,backhand_index_pointing_down_medium-dark_skin_tone,0.033954,-0.111425
👩🏻‍❤‍💋‍👩🏾,kiss_woman_woman_light_skin_tone_medium-dark_skin_tone,0.033948,0.076261
🫱,rightwards_hand,0.033882,-0.013739
🧏🏼‍♀️,deaf_woman_medium-light_skin_tone,0.033878,0.144667
😚,kissing_face_with_closed_eyes,0.033716,-0.074780
🎛,control_knobs,0.033603,-0.047938
🚠,mountain_cableway,0.033529,-0.099241
🚜,tractor,0.033395,0.110902
🤸🏾‍♂️,man_cartwheeling_medium-dark_skin_tone,0.033359,0.139913
㊙️,Japanese_secret_button,0.033303,-0.136018
🚣🏽‍♀️,woman_rowing_boat_medium_skin_tone,0.033265,0.169461
🧔🏼,person_medium-light_skin_tone_beard,0.033250,-0.046600
🖐🏾,hand_with_fingers_splayed_medium-dark_skin_tone,0.033230,-0.150385
👨🏻‍❤️‍💋‍👨🏻,kiss_man_man_light_skin_tone,0.033217,0.087653
🫅🏽,person_with_crown_medium_skin_tone,0.033199,-0.020561
☦️,orthodox_cross,0.033172,-0.055842
🎡,ferris_wheel,0.033045,-0.077766
🦸‍♀,woman_superhero,0.033019,0.103200
🚴🏽‍♂️,man_biking_medium_skin_tone,0.033008,0.185192
🧘‍♂️,man_in_lotus_position,0.033000,0.207241
👩🏿‍❤️‍💋‍👩🏼,kiss_woman_woman_dark_skin_tone_medium-light_skin_tone,0.032979,0.014518
🧑‍✈️,pilot,0.032941,0.188358
⛅,sun_behind_cloud,0.032854,-0.031068
👇🏻,backhand_index_pointing_down_light_skin_tone,0.032819,-0.110025
👇🏼,backhand_index_pointing_down_medium-light_skin_tone,0.032791,-0.101344
😘,face_blowing_a_kiss,0.032725,-0.073084
👩🏾‍❤‍💋‍👩🏻,kiss_woman_woman_medium-dark_skin_tone_light_skin_tone,0.032707,0.089746
🛘,landslide,0.032684,-0.041952
🚴🏽‍♀️,woman_biking_medium_skin_tone,0.032660,0.192643
🧛🏾‍♂️,man_vampire_medium-dark_skin_tone,0.032651,0.152144
🕵🏾,detective_medium-dark_skin_tone,0.032550,-0.072511
🇵🇭,Philippines,0.032479,0.164693
🧑🏻‍🍳,cook_light_skin_tone,0.032430,0.182165
🇨🇰,Cook_Islands,0.032408,0.153727
👮,police_officer,0.032377,-0.107923
🛀🏼,person_taking_bath_medium-light_skin_tone,0.032186,-0.078176
🧙🏽‍♂,man_mage_medium_skin_tone,0.032150,0.192455
🚯,no_littering,0.032131,-0.079597
🧜🏻‍♂,merman_light_skin_tone,0.032116,0.208841
🤸🏻‍♀️,woman_cartwheeling_light_skin_tone,0.032108,0.163805
🕝,two-thirty,0.032079,-0.075203
🤹🏼‍♀,woman_juggling_medium-light_skin_tone,0.032070,0.130224
📲,mobile_phone_with_arrow,0.032008,-0.031437
✋🏼,raised_hand_medium-light_skin_tone,0.031976,-0.075151
🩲,briefs,0.031866,-0.109836
🏋🏾‍♀,woman_lifting_weights_medium-dark_skin_tone,0.031826,0.138125
🫱🏼,rightwards_hand_medium-light_skin_tone,0.031820,0.093819
💆🏼‍♀️,woman_getting_massage_medium-light_skin_tone,0.031756,0.162954
👩🏿‍❤‍💋‍👩🏿,kiss_woman_woman_dark_skin_tone,0.031720,-0.034011
🚣🏽‍♂️,man_rowing_boat_medium_skin_tone,0.031703,0.157566
⏳,hourglass_not_done,0.031623,-0.036518
🚴🏾‍♂️,man_biking_medium-dark_skin_tone,0.031492,0.174140
🧚🏼‍♂,man_fairy_medium-light_skin_tone,0.031441,0.206968
🧖🏻‍♀️,woman_in_steamy_room_light_skin_tone,0.031424,0.217821
⏱️,stopwatch,0.031388,0.051199
⚕️,medical_symbol,0.031370,0.001407
🫱🏻‍🫲🏽,handshake_light_skin_tone_medium_skin_tone,0.031355,0.164357
🙇🏼‍♂️,man_bowing_medium-light_skin_tone,0.031308,0.097790
🧚🏽‍♂,man_fairy_medium_skin_tone,0.031195,0.205610
👯🏼‍♀️,women_with_bunny_ears_medium-light_skin_tone,0.031154,0.131966
🇨🇭,Switzerland,0.031150,0.156556
😆,grinning_squinting_face,0.031141,0.038296
👇,backhand_index_pointing_down,0.031040,-0.114585
🏋🏽‍♂,man_lifting_weights_medium_skin_tone,0.031026,0.157182
🏄🏼‍♂️,man_surfing_medium-light_skin_tone,0.030974,0.189251
👩🏻‍❤‍💋‍👩🏽,kiss_woman_woman_light_skin_tone_medium_skin_tone,0.030962,0.092132
💇🏾,person_getting_haircut_medium-dark_skin_tone,0.030923,-0.011739
🤺,person_fencing,0.030904,-0.059973
👩🏾‍❤️‍💋‍👩🏻,kiss_woman_woman_medium-dark_skin_tone_light_skin_tone,0.030865,0.098733
🤸🏼‍♀️,woman_cartwheeling_medium-light_skin_tone,0.030855,0.170962
🚣🏼‍♂️,man_rowing_boat_medium-light_skin_tone,0.030833,0.167769
🇸🇰,Slovakia,0.030664,0.146603
🕚,eleven_o’clock,0.030642,-0.055534
👐🏻,open_hands_light_skin_tone,0.030623,-0.074810
👨🏻‍❤️‍💋‍👨🏼,kiss_man_man_light_skin_tone_medium-light_skin_tone,0.030588,0.093093
🙋🏻‍♀️,woman_raising_hand_light_skin_tone,0.030522,0.001455
🚣🏾‍♀️,woman_rowing_boat_medium-dark_skin_tone,0.030433,0.135800
🩴,thong_sandal,0.030402,-0.104728
🙆🏻‍♂️,man_gesturing_OK_light_skin_tone,0.030394,0.077225
🚴🏾‍♀️,woman_biking_medium-dark_skin_tone,0.030327,0.180651
💆🏻‍♀️,woman_getting_massage_light_skin_tone,0.030298,0.155807
✏️,pencil,0.030285,0.087193
🏙️,cityscape,0.030276,0.058960
🎟️,admission_tickets,0.030271,-0.052213
🧘🏾‍♂️,man_in_lotus_position_medium-dark_skin_tone,0.030235,0.183778
🚵🏻‍♀️,woman_mountain_biking_light_skin_tone,0.030188,0.136051
⛓‍💥,broken_chain,0.030155,-0.050478
🇨🇿,Czechia,0.030106,0.150279
👷🏼,construction_worker_medium-light_skin_tone,0.030086,0.081021
🧛🏼‍♀️,woman_vampire_medium-light_skin_tone,0.030055,0.162896
👨🏻‍❤‍💋‍👨🏼,kiss_man_man_light_skin_tone_medium-light_skin_tone,0.030048,0.088339
🚵🏽,person_mountain_biking_medium_skin_tone,0.029963,-0.068485
👩‍🍳,woman_cook,0.029892,0.135891
👩🏿‍❤️‍💋‍👨🏿,kiss_woman_man_dark_skin_tone,0.029790,0.017778
🪦,headstone,0.029778,0.023974
⌨️,keyboard,0.029765,0.063946
👩🏼‍❤‍💋‍👩🏻,kiss_woman_woman_medium-light_skin_tone_light_skin_tone,0.029742,0.102845
🧗🏻‍♀️,woman_climbing_light_skin_tone,0.029734,0.180321
⏏️,eject_button,0.029729,0.004742
👩🏿‍❤‍💋‍👩🏽,kiss_woman_woman_dark_skin_tone_medium_skin_tone,0.029718,0.005423
👇🏽,backhand_index_pointing_down_medium_skin_tone,0.029715,-0.117996
🧛🏻‍♀,woman_vampire_light_skin_tone,0.029708,0.150902
💆🏽‍♀️,woman_getting_massage_medium_skin_tone,0.029650,0.139836
🗓,spiral_calendar,0.029636,-0.036146
🤾🏼‍♂️,man_playing_handball_medium-light_skin_tone,0.029636,0.162414
🚨,police_car_light,0.029596,-0.052556
👝,clutch_bag,0.029517,-0.136122
🤾🏽‍♂️,man_playing_handball_medium_skin_tone,0.029442,0.150609
🚵🏻‍♂️,man_mountain_biking_light_skin_tone,0.029376,0.136814
🇰🇷,South_Korea,0.029311,0.154583
📀,dvd,0.029121,-0.051227
👩🏿‍❤️‍💋‍👩🏽,kiss_woman_woman_dark_skin_tone_medium_skin_tone,0.029069,0.013069
🤠,cowboy_hat_face,0.028999,-0.141161
🚵,person_mountain_biking,0.028999,-0.071608
👷🏽,construction_worker_medium_skin_tone,0.028977,0.006185
👮‍♂️,man_police_officer,0.028975,0.102485
⛩️,shinto_shrine,0.028876,0.073871
🌪️,tornado,0.028862,0.122061
👩🏻‍❤️‍💋‍👩🏽,kiss_woman_woman_light_skin_tone_medium_skin_tone,0.028799,0.092080
🧝🏼‍♂,man_elf_medium-light_skin_tone,0.028795,0.204440
🪇,maracas,0.028782,-0.095744
😲,astonished_face,0.028762,-0.002414
👮🏼,police_officer_medium-light_skin_tone,0.028752,-0.056658
👩🏼‍❤‍💋‍👩🏼,kiss_woman_woman_medium-light_skin_tone,0.028641,0.093031
🦹🏽‍♀,woman_supervillain_medium_skin_tone,0.028555,0.053868
👩🏿‍❤️‍💋‍👨🏻,kiss_woman_man_dark_skin_tone_light_skin_tone,0.028518,0.039496
🫱🏻‍🫲🏼,handshake_light_skin_tone_medium-light_skin_tone,0.028369,0.163723
💇,person_getting_haircut,0.028320,0.021581
👩🏿‍❤️‍💋‍👩🏿,kiss_woman_woman_dark_skin_tone,0.028309,-0.029536
🪿,goose,0.028281,-0.042198
👨🏻‍❤️‍💋‍👨🏽,kiss_man_man_light_skin_tone_medium_skin_tone,0.028258,0.080697
🧛🏾‍♀️,woman_vampire_medium-dark_skin_tone,0.028233,0.137520
🏪,convenience_store,0.028136,-0.061674
㊙,Japanese_secret_button,0.028106,-0.136122
👩🏿‍❤‍💋‍👩🏾,kiss_woman_woman_dark_skin_tone_medium-dark_skin_tone,0.028086,-0.009410
🇪🇪,Estonia,0.027977,0.135397
🧑‍🌾,farmer,0.027964,0.166375
🇦🇺,Australia,0.027942,0.162332
🤹🏼‍♂,man_juggling_medium-light_skin_tone,0.027936,0.133650
♟,chess_pawn,0.027922,0.071131
🇨🇱,Chile,0.027911,0.148367
👩🏿‍❤‍💋‍👨🏿,kiss_woman_man_dark_skin_tone,0.027860,0.009524
🎚️,level_slider,0.027851,-0.129301
🕵🏽‍♀,woman_detective_medium_skin_tone,0.027668,0.046936
🇪🇹,Ethiopia,0.027668,0.151628
📮,postbox,0.027575,-0.087712
🦸🏽‍♂,man_superhero_medium_skin_tone,0.027573,0.118092
🧙🏾‍♀,woman_mage_medium-dark_skin_tone,0.027508,0.152840
💆🏾‍♀️,woman_getting_massage_medium-dark_skin_tone,0.027503,0.096032
🙇🏼‍♀️,woman_bowing_medium-light_skin_tone,0.027466,0.101132
🏋🏾‍♂,man_lifting_weights_medium-dark_skin_tone,0.027391,0.121310
🛥,motor_boat,0.027387,-0.011455
🔡,input_latin_lowercase,0.027383,-0.105681
📨,incoming_envelope,0.027333,-0.093554
🚶🏽,person_walking_medium_skin_tone,0.027164,-0.019263
👨🏼‍❤️‍💋‍👨🏼,kiss_man_man_medium-light_skin_tone,0.027151,0.098979
👲🏻,person_with_skullcap_light_skin_tone,0.027115,0.057067
🇹🇭,Thailand,0.027114,0.150073
🧚‍♂,man_fairy,0.026863,0.199058
🏄🏾‍♂️,man_surfing_medium-dark_skin_tone,0.026824,0.156853
👯‍♀️,women_with_bunny_ears,0.026787,0.110438
🤽‍♂️,man_playing_water_polo,0.026770,0.184560
📣,megaphone,0.026767,-0.129248
🤽‍♀️,woman_playing_water_polo,0.026754,0.194526
🇲🇹,Malta,0.026729,0.159176
🧛‍♀️,woman_vampire,0.026649,0.143972
🇲🇵,Northern_Mariana_Islands,0.026601,0.150071
👩🏻‍✈️,woman_pilot_light_skin_tone,0.026568,0.191105
⏯️,play_or_pause_button,0.026526,-0.055827
👩🏿‍❤‍💋‍👨🏻,kiss_woman_man_dark_skin_tone_light_skin_tone,0.026457,0.021591
🏌🏼,person_golfing_medium-light_skin_tone,0.026452,0.135129
🇺🇸,United_States,0.026350,0.128901
🧙‍♂,man_mage,0.026349,0.162584
👱‍♂️,man_blond_hair,0.026338,0.121297
🌨,cloud_with_snow,0.026212,0.149759
👩🏻‍❤‍💋‍👨🏻,kiss_woman_man_light_skin_tone,0.026175,0.112120
🙆🏾,person_gesturing_OK_medium-dark_skin_tone,0.026130,-0.046516
🏄🏻‍♀️,woman_surfing_light_skin_tone,0.026029,0.189448
🏎,racing_car,0.026024,0.021164
🗞,rolled-up_newspaper,0.026003,-0.042181
🔈,speaker_low_volume,0.025966,-0.074855
🏌🏻,person_golfing_light_skin_tone,0.025910,0.117865
👂🏾,ear_medium-dark_skin_tone,0.025910,-0.139569
👴🏼,old_man_medium-light_skin_tone,0.025763,-0.006428
👩🏾‍❤‍💋‍👩🏼,kiss_woman_woman_medium-dark_skin_tone_medium-light_skin_tone,0.025734,0.085432
🧚🏾‍♂,man_fairy_medium-dark_skin_tone,0.025719,0.160058
🧖🏻‍♂️,man_in_steamy_room_light_skin_tone,0.025712,0.205239
⛳,flag_in_hole,0.025700,-0.056559
🧙🏾‍♂,man_mage_medium-dark_skin_tone,0.025668,0.145875
🏋🏿‍♂️,man_lifting_weights_dark_skin_tone,0.025617,-0.063214
🧎🏽‍♂️,man_kneeling_medium_skin_tone,0.025596,0.142433
⌛,hourglass_done,0.025536,-0.119229
🫑,bell_pepper,0.025508,-0.059457
🧑🏻‍🔧,mechanic_light_skin_tone,0.025395,0.178640
👩🏻‍❤️‍💋‍👩🏾,kiss_woman_woman_light_skin_tone_medium-dark_skin_tone,0.025341,0.067867
👩🏼‍❤️‍💋‍👩🏼,kiss_woman_woman_medium-light_skin_tone,0.025313,0.088714
🤾🏻‍♂️,man_playing_handball_light_skin_tone,0.025290,0.141546
🌨️,cloud_with_snow,0.025213,0.162793
👩🏼‍❤️‍💋‍👩🏻,kiss_woman_woman_medium-light_skin_tone_light_skin_tone,0.025199,0.104407
✉️,envelope,0.025191,-0.041604
📬,open_mailbox_with_raised_flag,0.025159,-0.095947
👩🏾‍❤️‍💋‍👩🏼,kiss_woman_woman_medium-dark_skin_tone_medium-light_skin_tone,0.025147,0.091185
🤸🏾‍♀️,woman_cartwheeling_medium-dark_skin_tone,0.025123,0.131793
🚮,litter_in_bin_sign,0.025080,-0.152113
🏃🏻‍♂️,man_running_light_skin_tone,0.025030,0.203596
🇵🇱,Poland,0.025017,0.138122
🛂,passport_control,0.024764,-0.115519
🚣🏾‍♂️,man_rowing_boat_medium-dark_skin_tone,0.024720,0.117197
♾,infinity,0.024660,-0.018393
🤎,brown_heart,0.024627,-0.063269
👩🏻‍❤️‍💋‍👨🏻,kiss_woman_man_light_skin_tone,0.024607,0.108491
🇩🇪,Germany,0.024592,0.136124
🧝‍♀,woman_elf,0.024536,0.191386
😝,squinting_face_with_tongue,0.024512,0.096951
✂,scissors,0.024419,-0.100641
🏌🏾,person_golfing_medium-dark_skin_tone,0.024407,0.030228
🤵🏽,person_in_tuxedo_medium_skin_tone,0.024393,-0.111436
👩🏻‍🍳,woman_cook_light_skin_tone,0.024379,0.167882
👨🏻‍🍳,man_cook_light_skin_tone,0.024296,0.175401
🪡,sewing_needle,0.024278,-0.058760
0⃣,keycap_0,0.024249,-0.143832
👨🏻‍❤‍💋‍👨🏽,kiss_man_man_light_skin_tone_medium_skin_tone,0.024194,0.069809
🧑‍🎤,singer,0.024163,0.084904
⛏,pick,0.024160,-0.047767
🏺,amphora,0.024129,-0.065066
👩🏽‍❤️‍💋‍👩🏻,kiss_woman_woman_medium_skin_tone_light_skin_tone,0.024091,0.109378
🕶,sunglasses,0.024007,-0.098195
🧏🏽‍♂️,deaf_man_medium_skin_tone,0.023951,0.181143
🛢,oil_drum,0.023944,-0.067121
👯‍♂️,men_with_bunny_ears,0.023861,0.110340
🏄‍♀️,woman_surfing,0.023845,0.177180
👩🏻‍❤️‍💋‍👨🏼,kiss_woman_man_light_skin_tone_medium-light_skin_tone,0.023755,0.111356
🏳️‍🌈,rainbow_flag,0.023751,0.150325
🦸🏾‍♂,man_superhero_medium-dark_skin_tone,0.023674,0.093627
🧜🏽‍♀,mermaid_medium_skin_tone,0.023653,0.195197
🏄🏽‍♀️,woman_surfing_medium_skin_tone,0.023632,0.178464
👫🏽,woman_and_man_holding_hands_medium_skin_tone,0.023562,-0.031222
🤴,prince,0.023450,-0.116559
🌔,waxing_gibbous_moon,0.023449,0.179994
🇨🇳,China,0.023438,0.001480
🤷🏻‍♀️,woman_shrugging_light_skin_tone,0.023425,0.125727
👨🏻‍🚒,man_firefighter_light_skin_tone,0.023425,0.198741
👱🏻‍♀️,woman_light_skin_tone_blond_hair,0.023308,0.149344
🤷‍♂️,man_shrugging,0.023264,0.104468
👩🏻‍❤️‍💋‍👨🏽,kiss_woman_man_light_skin_tone_medium_skin_tone,0.023238,0.111785
👨🏽‍🚀,man_astronaut_medium_skin_tone,0.023203,0.160985
🧗🏼‍♂️,man_climbing_medium-light_skin_tone,0.023171,0.144977
🫛,pea_pod,0.023132,-0.094468
🚶‍♂️,man_walking,0.023059,0.108977
👩🏽‍❤️‍💋‍👩🏼,kiss_woman_woman_medium_skin_tone_medium-light_skin_tone,0.022959,0.113344
🙋🏼‍♀️,woman_raising_hand_medium-light_skin_tone,0.022789,0.010987
🪐,ringed_planet,0.022778,0.004802
👱‍♀️,woman_blond_hair,0.022746,0.138395
🧝🏽‍♂,man_elf_medium_skin_tone,0.022706,0.203230
🧎🏻‍♀️,woman_kneeling_light_skin_tone,0.022487,0.158605
🤷🏻‍♂️,man_shrugging_light_skin_tone,0.022471,0.117409
👛,purse,0.022460,-0.116433
👙,bikini,0.022401,-0.137802
✈,airplane,0.022346,-0.004030
🙆🏻‍♀️,woman_gesturing_OK_light_skin_tone,0.022327,0.056064
👯🏻‍♀️,women_with_bunny_ears_light_skin_tone,0.022260,0.141460
👩🏽‍❤‍💋‍👩🏻,kiss_woman_woman_medium_skin_tone_light_skin_tone,0.022240,0.103270
💂‍♀️,woman_guard,0.022222,0.053406
💂🏽,guard_medium_skin_tone,0.022179,-0.146042
👐🏽,open_hands_medium_skin_tone,0.022123,-0.093003
🧑🏾‍🍳,cook_medium-dark_skin_tone,0.022104,0.151253
👨🏼‍❤️‍💋‍👨🏻,kiss_man_man_medium-light_skin_tone_light_skin_tone,0.022048,0.099673
👩🏿‍❤️‍💋‍👩🏾,kiss_woman_woman_dark_skin_tone_medium-dark_skin_tone,0.022011,-0.008737
🏍,motorcycle,0.021969,-0.036426
👨🏼‍❤‍💋‍👨🏼,kiss_man_man_medium-light_skin_tone,0.021961,0.095299
🤽🏻‍♂,man_playing_water_polo_light_skin_tone,0.021819,0.159980
🧙‍♀,woman_mage,0.021751,0.172429
🙉,hear-no-evil_monkey,0.021720,-0.088026
🎿,skis,0.021626,-0.067345
🏄🏼‍♀️,woman_surfing_medium-light_skin_tone,0.021618,0.188051
⚔,crossed_swords,0.021560,-0.103276
✂️,scissors,0.021490,-0.057704
🕳️,hole,0.021417,-0.073448
⌨,keyboard,0.021379,-0.006054
🤔,thinking_face,0.021339,-0.040759
👠,high-heeled_shoe,0.021247,-0.122770
🧑‍🍳,cook,0.021241,0.155232
🦂,scorpion,0.021218,-0.087217
🛀🏽,person_taking_bath_medium_skin_tone,0.021217,-0.110537
👩🏾‍❤‍💋‍👩🏾,kiss_woman_woman_medium-dark_skin_tone,0.021209,0.073736
🪑,chair,0.021159,-0.094986
💂‍♂️,man_guard,0.021103,0.073523
💂🏼,guard_medium-light_skin_tone,0.021067,-0.094466
🏃🏼‍♂️,man_running_medium-light_skin_tone,0.020974,0.190849
👐🏼,open_hands_medium-light_skin_tone,0.020927,-0.086511
🏃‍♂️,man_running,0.020895,0.196227
👩🏻‍❤‍💋‍👨🏼,kiss_woman_man_light_skin_tone_medium-light_skin_tone,0.020884,0.104801
🏻,light_skin_tone,0.020879,-0.053802
🦸🏼‍♀,woman_superhero_medium-light_skin_tone,0.020847,0.133925
🚝,monorail,0.020779,-0.087260
🦹🏽‍♂,man_supervillain_medium_skin_tone,0.020726,0.044973
✉,envelope,0.020685,-0.101945
🐦‍⬛,black_bird,0.020676,-0.038986
🔙,BACK_arrow,0.020555,-0.140140
👩🏿‍❤️‍💋‍👨🏽,kiss_woman_man_dark_skin_tone_medium_skin_tone,0.020532,0.024744
🤽🏻‍♀,woman_playing_water_polo_light_skin_tone,0.020451,0.151154
👯🏾‍♂️,men_with_bunny_ears_medium-dark_skin_tone,0.020317,0.106196
👩‍❤‍💋‍👨,kiss_woman_man,0.020314,0.062603
👯🏼‍♂️,men_with_bunny_ears_medium-light_skin_tone,0.020297,0.118569
💂🏻,guard_light_skin_tone,0.020277,-0.132851
🚵🏾,person_mountain_biking_medium-dark_skin_tone,0.020230,-0.112105
🪬,hamsa,0.020221,-0.056660
🕵‍♀,woman_detective,0.020149,0.082749
👨🏿‍❤️‍💋‍👨🏻,kiss_man_man_dark_skin_tone_light_skin_tone,0.020144,-0.007198
🏃🏽‍♂️,man_running_medium_skin_tone,0.020090,0.201395
👖,jeans,0.020008,-0.136700
👩🏻‍❤‍💋‍👨🏽,kiss_woman_man_light_skin_tone_medium_skin_tone,0.019988,0.101956
🏌️‍♂️,man_golfing,0.019986,0.187675
🫔,tamale,0.019925,-0.098644
👩🏽‍❤‍💋‍👩🏼,kiss_woman_woman_medium_skin_tone_medium-light_skin_tone,0.019746,0.106363
👩🏾‍🚀,woman_astronaut_medium-dark_skin_tone,0.019702,0.174502
🇮🇪,Ireland,0.019699,0.123494
🇮🇳,India,0.019638,0.124922
🧑‍🔧,mechanic,0.019540,0.170612
⛹🏾,person_bouncing_ball_medium-dark_skin_tone,0.019508,-0.096568
🧑🏻‍🎤,singer_light_skin_tone,0.019471,0.087009
👨🏿‍❤‍💋‍👨🏻,kiss_man_man_dark_skin_tone_light_skin_tone,0.019406,-0.014145
👩‍🚒,woman_firefighter,0.019344,0.164097
🙆‍♂️,man_gesturing_OK,0.019274,0.040081
🧏🏾‍♂️,deaf_man_medium-dark_skin_tone,0.019242,0.077015
👩🏼‍❤‍💋‍👩🏾,kiss_woman_woman_medium-light_skin_tone_medium-dark_skin_tone,0.019238,0.078680
🧗🏼‍♀️,woman_climbing_medium-light_skin_tone,0.019230,0.157786
👩🏾‍❤️‍💋‍👩🏾,kiss_woman_woman_medium-dark_skin_tone,0.019222,0.075289
👨🏻‍❤️‍💋‍👨🏾,kiss_man_man_light_skin_tone_medium-dark_skin_tone,0.019152,0.046136
🟧,orange_square,0.019036,-0.108035
🧜🏾‍♂,merman_medium-dark_skin_tone,0.019025,0.131417
👩🏼‍❤‍💋‍👩🏽,kiss_woman_woman_medium-light_skin_tone_medium_skin_tone,0.019019,0.100703
👨‍🔧,man_mechanic,0.018920,0.168256
👮🏽,police_officer_medium_skin_tone,0.018868,-0.092136
👨🏻‍✈️,man_pilot_light_skin_tone,0.018820,0.188723
🇲🇰,North_Macedonia,0.018816,0.137428
🏋🏿‍♀️,woman_lifting_weights_dark_skin_tone,0.018808,-0.055611
🧎‍♂️,man_kneeling,0.018706,0.145785
🙋🏽‍♀️,woman_raising_hand_medium_skin_tone,0.018550,0.003103
👜,handbag,0.018463,-0.091722
🧑🏻‍⚕️,health_worker_light_skin_tone,0.018420,0.187005
🌇,sunset,0.018347,-0.153108
🇷🇪,Réunion,0.018289,0.140742
👩🏽‍🚀,woman_astronaut_medium_skin_tone,0.018236,0.176929
🏌️,person_golfing,0.018232,0.128553
👨‍🚒,man_firefighter,0.018208,0.178094
👩🏽‍❤️‍💋‍👩🏽,kiss_woman_woman_medium_skin_tone,0.018176,0.103552
🤸‍♀️,woman_cartwheeling,0.018163,0.134369
👩🏾‍❤‍💋‍👩🏽,kiss_woman_woman_medium-dark_skin_tone_medium_skin_tone,0.018038,0.077026
👩‍❤️‍💋‍👨,kiss_woman_man,0.018023,0.071656
👩🏿‍❤️‍💋‍👨🏼,kiss_woman_man_dark_skin_tone_medium-light_skin_tone,0.017995,0.028274
🚵🏼‍♀️,woman_mountain_biking_medium-light_skin_tone,0.017954,0.131425
👩🏾‍❤️‍💋‍👨🏻,kiss_woman_man_medium-dark_skin_tone_light_skin_tone,0.017918,0.116576
👰🏻,person_with_veil_light_skin_tone,0.017852,-0.104101
🥉,3rd_place_medal,0.017803,0.007522
👩🏽‍🍳,woman_cook_medium_skin_tone,0.017798,0.161037
🤷‍♀️,woman_shrugging,0.017779,0.108809
🚬,cigarette,0.017671,-0.079012
🧎🏿‍♂️,man_kneeling_dark_skin_tone,0.017649,-0.024948
🚵🏼‍♂️,man_mountain_biking_medium-light_skin_tone,0.017636,0.130492
🧖🏽‍♀️,woman_in_steamy_room_medium_skin_tone,0.017630,0.186588
👩🏿‍✈️,woman_pilot_dark_skin_tone,0.017574,0.005545
🧔,person_beard,0.017560,-0.128241
🚶🏾,person_walking_medium-dark_skin_tone,0.017542,-0.083834
