emoji,name,cos_sim_cad,cos_sim_prompt
🍨,ice_cream,0.142118,0.274258
🍤,fried_shrimp,0.142015,0.244059
💅🏻,nail_polish_light_skin_tone,0.141770,0.166385
🧵,thread,0.141746,0.121179
🌅,sunrise,0.141706,0.285300
🐣,hatching_chick,0.141631,0.202776
🫷🏻,leftwards_pushing_hand_light_skin_tone,0.141595,0.218189
🧝🏻,elf_light_skin_tone,0.141542,0.254349
🍋,lemon,0.141442,0.281282
🍙,rice_ball,0.141375,0.191330
🐌,snail,0.141354,0.234888
💞,revolving_hearts,0.141333,0.230856
🫖,teapot,0.141301,0.155674
💖,sparkling_heart,0.141053,0.232874
🌞,sun_with_face,0.140843,0.284103
🎁,wrapped_gift,0.140738,0.229127
🐩,poodle,0.140713,0.219977
🍎,red_apple,0.140561,0.256649
🐎,horse,0.140537,0.200818
🎂,birthday_cake,0.140166,0.268380
🐫,two-hump_camel,0.139974,0.180052
🍿,popcorn,0.139874,0.154821
👼🏽,baby_angel_medium_skin_tone,0.139678,0.129728
🧜🏾,merperson_medium-dark_skin_tone,0.139038,0.150675
🕊️,dove,0.139000,0.191769
🦻🏻,ear_with_hearing_aid_light_skin_tone,0.138659,0.040099
💕,two_hearts,0.138474,0.242585
💑🏾,couple_with_heart_medium-dark_skin_tone,0.138462,0.133874
👭🏽,women_holding_hands_medium_skin_tone,0.137993,0.117943
🧜🏽,merperson_medium_skin_tone,0.137651,0.194286
💃,woman_dancing,0.137596,0.028174
💓,beating_heart,0.137538,0.158967
🧚,fairy,0.137526,0.172972
7️⃣,keycap_7,0.137486,0.066655
💅,nail_polish,0.137408,0.187944
👌🏽,OK_hand_medium_skin_tone,0.136745,0.129551
🐨,koala,0.136346,0.189570
💏,kiss,0.136077,0.211374
👏🏼,clapping_hands_medium-light_skin_tone,0.136028,0.115536
🍂,fallen_leaf,0.135780,0.259897
💚,green_heart,0.135779,0.076111
🍞,bread,0.135764,0.262283
💧,droplet,0.135753,0.221743
🧝🏽,elf_medium_skin_tone,0.135665,0.236768
🦈,shark,0.135528,0.185418
🍵,teacup_without_handle,0.135480,0.287558
🍼,baby_bottle,0.135442,0.167675
✌🏽,victory_hand_medium_skin_tone,0.135380,0.074009
🌳,deciduous_tree,0.135277,0.279615
🍔,hamburger,0.135108,0.251306
🧩,puzzle_piece,0.135068,0.154795
🤌🏼,pinched_fingers_medium-light_skin_tone,0.135009,0.211110
🍦,soft_ice_cream,0.134687,0.289236
☺,smiling_face,0.134684,0.084169
🦍,gorilla,0.134613,0.191132
🐉,dragon,0.134612,0.232166
🕺🏽,man_dancing_medium_skin_tone,0.134542,0.148538
😊,smiling_face_with_smiling_eyes,0.134306,0.139953
🌚,new_moon_face,0.134293,0.206423
🧘🏻,person_in_lotus_position_light_skin_tone,0.133888,0.168931
🌽,ear_of_corn,0.133862,0.254023
🐠,tropical_fish,0.133386,0.146054
🐲,dragon_face,0.133359,0.169882
🍁,maple_leaf,0.133348,0.251659
👶🏼,baby_medium-light_skin_tone,0.133264,0.218115
🪄,magic_wand,0.132880,0.165693
🤛🏻,left-facing_fist_light_skin_tone,0.132847,0.184600
🐭,mouse_face,0.132598,0.206386
🫐,blueberries,0.132143,0.231693
🍾,bottle_with_popping_cork,0.132122,0.152205
🐾,paw_prints,0.132114,0.209228
🐈,cat,0.131978,0.296721
🤽🏾,person_playing_water_polo_medium-dark_skin_tone,0.131863,0.153395
🫷,leftwards_pushing_hand,0.131816,0.211593
🤞🏽,crossed_fingers_medium_skin_tone,0.131387,0.120173
🫸🏽,rightwards_pushing_hand_medium_skin_tone,0.131180,0.137217
💑🏽,couple_with_heart_medium_skin_tone,0.130970,0.185776
🤳🏽,selfie_medium_skin_tone,0.130840,0.174759
🧝🏾,elf_medium-dark_skin_tone,0.130803,0.201817
☕,hot_beverage,0.130279,0.269606
☄️,comet,0.130136,0.198272
🐋,whale,0.130081,0.229944
🫳🏼,palm_down_hand_medium-light_skin_tone,0.130016,0.209269
♥,heart_suit,0.129956,0.220253
🐥,front-facing_baby_chick,0.129695,0.202689
🍬,candy,0.129632,0.261825
🦭,seal,0.129625,0.065136
